,Can,Laf,Lag,Dep,Sak,Eas,Rup,GOG,Out,Man,Tou
45,215.3684211,95.59375,201.7,187.5238095,12.27642857,288.8,746.0952381,81.0675,239.9940524,354.7453104,133.7308326
46,215.3684211,95.59375,201.7,187.5238095,12.27642857,288.8,746.0952381,81.0675,239.9940524,354.7453104,133.7308326
47,215.3684211,95.59375,201.7,187.5238095,12.27642857,288.8,746.0952381,81.0675,239.9940524,354.7453104,133.7308326
48,215.3684211,95.59375,201.7,187.5238095,12.27642857,288.8,746.0952381,81.0675,239.9940524,354.7453104,133.7308326
49,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
50,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
51,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
52,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
53,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
54,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
55,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
56,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
57,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
58,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
59,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
60,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
61,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
62,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
63,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
64,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
65,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
66,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
67,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
68,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
69,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
70,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
71,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
72,212.3684211,94.2875,199.45,184.4285714,11.94714286,283.75,741.3333333,79.39875,234.8634189,331.1975376,132.3913004
73,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
74,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
75,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
76,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
77,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
78,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
79,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
80,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
81,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
82,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
83,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
84,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
85,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
86,209.8947368,93.0125,197.3,181.8571429,11.63357143,279.4,736.6190476,77.955,232.1563018,342.7339581,135.9320418
